title,link,pubDate,description,query
"""An Evaluation of Innovative Transportation Financing ...",https://docs.lib.purdue.edu/jtrp/16/,Автор: K Drike,"Abstract

Innovative financing techniques can complement current methods of financing highway projects in Indiana. Annual federal apportionments and Indiana state revenues are not sufficient to maintain and improve state highways, so innovative approaches in transportation project financing should be sought. There are several available innovative financing techniques associated with the use of federal funds. Although, they do not provide new sources of revenue and cannot create enough funds for all identified projects, they provide flexibility in the use of available funds that can expedite the implementation of individual projects. The main objective of this study was to evaluate the major innovative financing techniques associated with federal funds, and their applicability for transportation projects in Indiana. The legal, financial, and operational issues of various alternatives were examined, and the economic impacts were investigated in terms of user benefits and debt service of the transportation agency. Possible revenue sources for debt service payment also were identified, and from a legal perspective, factors such as eligibility, authorization parties, and administration of financing assistance were addressed. Innovative financing techniques considered in the study include: the Test and Evaluation Project 045 (TE-045 program), Grant Anticipation Revenue Vehicle Bonds (GARVEE), the Transportation Infrastructure Finance and Innovation Act (TIFIA), and the State Infrastructure Bank (SIB). Four actual INDOT projects were used as case studies in the analysis. The study provides a framework for the evaluation of the use of innovative financing techniques described in this report. With detailed project specific data project-by-project analysis can be done to find the optimal solution for individual project financing.",innovative shipping solutions investment
"""Gnosis Freight: Harnessing Data and Low-Code to Shipping ...",https://aisel.aisnet.org/cais/vol52/iss1/27/,Автор: O Biedova,"Abstract

Gnosis Freight employs low-code/no-code development tools to provide container visibility information for shippers. The context for this particular case includes the U.S. supply chains that are still reeling from the impacts of the Covid-19 pandemic. Shipping costs have sky-rocketed with shippers facing huge uncertainties as shipments are marooned on container ships or in container port yards. Accustomed to reliable pick-up and delivery forecasts at reasonable rates, supply chains find themselves burdened with unreliable delivery forecasts or the inability to track shipments. Gnosis Freight, by combining data from several sources, provides logistics and transportation managers with near real-time information on their shipments. Gnosis solutions engineers, armed with low-code and no-code development tools, are able to quickly install customer-tailored container visibility portals with little adverse effects on the customer’s existing work processes and data flows. The implementation speed of these edge development tools provides Gnosis Freight with a strategic advantage over competitive offerings that require major changes in a customer’s supply chain operations. But the company also faces issues with its own data supplier, giving students a specific ""make vs buy"" problem to analyze.",cargo visibility solutions
"""The Impact of 3PL's Green Initiatives on the Purchasing ...",https://arrow.tudublin.ie/nitlcon/55/,,"Abstract

There is a lack of research investigating the interaction and reciprocal influences between the buyer perspective and the supplier of transport and logistics services. Studies on the buyer perspective analyse the selection criteria to buy 3PL services, while research focused on green 3PL services examine initiatives undertaken by these companies to provide more environmentally sustainable services. The objective of this paper is to fill this void through an explorative case study analysis on the environmental attitude of 3PL companies in order to derive relevant implications for buyer’s behaviour. The results provide useful guidelines to buyers for understanding awareness, initiatives as well as drivers and barriers affecting 3PLs’ sustainability initiatives.",3PL sustainability innovations
"""The Impact of Supply Chain Innovation on Organizational ...",https://digitalcommons.unl.edu/businessdiss/17/,Автор: DH Lee,"Abstract

Supply chain management (SCM) has drawn significant attention in the health care industry in recent years because of its significant impact on hospital performance and quality of care. Since SCM is a complex system that interfaces with many different dimensions within a hospital and with suppliers, organizations need to first innovate their business processes while also considering their suppliers’ processes to accomplish effective SCM. Supply chain (SC) innovation helps organizations achieve efficiency and quality management practices for new customer value creation, which is expected to result in improved organizational performance.

This study examines the effects of innovation leadership, SC innovation, SC efficiency, and QM practices on organizational performance in the health care organization. More specifically, this study explores relationships among several factors that may influence organizational performance. Also, this study attempts to investigate differences between two health care organization groups: more than 500 and less than 500 beds.

The structural equation modeling (SEM) techniquewith AMOS 17.0 was usedto test hypotheses in the research model. The results confirmed the effect of innovation leadership on process improvement and IT application for SC innovation. The study also found positive relationships between process improvement and IT application as part of SC innovation; and SC efficiency and QM practices. In addition, the results showed the effect of operational improvement as a result of SC efficiency and QM practices on organizational performance. The study results also showed moderating effects of hospital size, controlled as between two groups: more than 500 and less than 500 beds.",supply chain innovation partnership
(18311- N) KENWORTH T680 NEXT GEN 2022 2023,https://bctrucksolutions.com/products/18311-n-kenworth-t680-next-gen-2022-2023,,"Complete Replacement Bumper for Kenworth T680 Next Gen 2022+ No Fog Light Hole

High quality parts. Durable and reliable during poor weathers

Direct Aftermarket replacement. Easy to install.

This listing is for 1x bumper.

Fits models:

Kenworth T680 Next Gen 2022+



Complete Replacement Bumper for Kenworth T680 Next Gen 2022+ No Fog Light Hole

High quality parts. Durable and reliable during poor weathers

Direct Aftermarket replacement. Easy to install.

This listing is for 1x bumper.

Fits models:

Kenworth T680 Next Gen 2022+



BC Truck Solutions warrants its products to be free from defects in material and workmanship under normal use and service. As your exclusive remedy, BC Truck Solutions will replace free of charge any product that in reasonable determination does not comply with the foregoing warranty. This warranty is voided by non-recommended use, improper installation, or physical damage. In addition, BC Truck Solutions will not be liable for any incidental or consequential damages and your exclusive remedy shall be replacement of the product that did not comply with this limited warranty.",next-gen trucking solutions
*NEW RESEARCH* AI in Supply Chain - Making ...,https://www.techmarketview.com/ukhotviews/archive/2024/06/05/new-research-ai-in-supply-chain-making-supply-chains-intelligent,5 июн. 2024 г.,"We use cookies to provide you with a better service. Close this message if you are happy with this, or find out more",supply chain innovation partnership
002401.SZ WACC | COSCO SHIPPING Technology Co Ltd ...,https://valueinvesting.io/002401.SZ/valuation/wacc,,"The WACC of COSCO SHIPPING Technology Co Ltd (002401.SZ) is 11.5%.

The Cost of Equity of COSCO SHIPPING Technology Co Ltd (002401.SZ) is 11.60%.

The Cost of Debt of COSCO SHIPPING Technology Co Ltd (002401.SZ) is 5.00%.",shipping technology investment
10 Cutting-Edge IoT Use Cases for 2023,https://www.iotsworldcongress.com/10-cutting-edge-iot-use-cases-for-2023/,,"Back to THE INDUSTRY NEWS

There are more than 10 billion IoT devices worldwide, and this number is projected to reach about 30 billion by 2030. Connectivity has countless applications for consumers and businesses alike. New technology enables manufacturers to make these devices smaller, more efficient, more powerful, and more versatile.

Whether a business adds connectivity to old equipment or builds a new solution from scratch, the Internet of Things (IoT) brings advanced capabilities to a wide range of processes. Broadly speaking, connecting physical devices to a network enables end users to remotely monitor, analyze, control, and automate their operations. But what that actually looks like depends on the device and its underlying technology.

Here are 10 examples of how IoT transforms the way we work and live.

1. Fleet management

Even with just a handful of vehicles to coordinate in a small geographic area, businesses must know precisely where they’re located and how they’re being used to optimize routes and save on fuel costs. A local house cleaning company may need to know which van is closest to which job site to coordinate new service requests. Or a national courier service may need to schedule service at the nearest shop for a truck that just popped a fault code. GPS trackers, some of which connect to a vehicle’s OBD II ports, can give fleet managers real-time visibility into their equipment’s location, speed, fuel usage, and more.

Fleet management IoT use case

Inquest Wireless uses IoT connectivity to help car dealerships and financial institutions track down vehicles due for repossession.

Read case study >>

2. Micromobility

A growing number of micromobility services have made rentable bikes, scooters, and other personal transportation vehicles available in cities around the world. These services rely on cellular IoT connectivity to ensure the pool of vehicles can be recovered and reused and that customers can be billed appropriately (and automatically) for each ride.

Micromobility IoT use case

Ryde, a leading e-scooter service in Norway, uses an IoT unit in each of their 20,000 scooters to activate and deactivate the device.

Read Ryde’s case study >>

3. EV charging

Eager to reduce carbon emissions, governments like the US and EU are heavily investing in EV infrastructure. As consumers and businesses embrace electric vehicles, EV charging businesses are working to establish enough charging stations to keep them running. These distributed self-service units are often in parking garages, other covered areas, or remote locations. They need IoT connectivity to facilitate transactions, monitor power usage, and remotely perform diagnostics.

EV charging IoT use case

Be Power, an Italian EV charging provider, operates thousands of charging stations and allows customers to connect and pay for each charge through an app.

Read Be Power’s case study >>

4. Building monitoring

Building automation is an increasingly common use case for IoT. Facility managers want to keep operating costs low, and IoT sensors allow them to remotely monitor who’s in the building and equipment and resource use. Smart buildings enable them to configure the HVAC system, lighting, and other infrastructure to react as people come and go automatically. This keeps employees comfortable, preventing wasteful power consumption and reducing reliance on manual adjustments.

5. Environmental monitoring

Traditionally, environmental monitoring has involved a significant amount of manual data collection as experts examine changes in soil, water, air, and other conditions. Monitoring this data over time gives governments, businesses, and organizations better insights into how various processes impact the environment so they can make more informed decisions. Using IoT, stakeholders can collect, organize, and analyze this data remotely, reducing their reliance on expensive on-site visits.

Environmental monitoring IoT use case

In-Situ connects telemetry devices to a data services platform that enables customers to monitor water conditions remotely.

Read In-Situ’s case study >>

6. Predictive maintenance

Every year, unplanned downtime costs manufacturers billions of dollars globally. Equipment breaking could force them to halt operations—for hours or even days—until they can get the parts and services they need. Failures can also cause serious injury or death, leading to lawsuits and significant fines. Predictive maintenance systems leverage connected sensors and machine learning to predict when a machine is likely to fail. Businesses can schedule services and order parts before there’s a problem. The sensors detect changes in conditions like temperature, output, pressure, vibration, or sound and use the asset’s maintenance history to connect these changes to previous failure patterns.

7. Smart farming

Agricultural operations tend to have razor-thin margins. But using advanced IoT-powered tech, farmers around the world are discovering opportunities to increase crop yields, manage livestock, reduce waste and losses, and maximize efficiency. In some cases, IoT is improving operations by automating manual processes—like irrigation and cow milking. In others, it’s giving farmers the visibility they need to optimize their resources and equipment.

Smart farming IoT use case

Smartisland, for example, lets farmers monitor their crops, empowering them to optimize resource consumption and prevent diseases.

Read Smartisland’s case study >>

8. Medical IoT

Medical equipment constantly collects data, which providers, caretakers, and patients rely on to make informed healthcare decisions. Depending on the equipment and the patient, conditions can change quickly. A fast response can make the difference between life and death. Medical IoT enables providers to monitor patients remotely, receive alerts when conditions become dangerous, and collect and analyze data more efficiently.

9. Smart metering

In the past, utility providers had to manually visit each customer and check each utility meter to analyze resource consumption and bill customers correctly. Modern providers use smart metering to connect physical meters to a digital application, allowing them to remotely collect utility data in real time. This helps them allocate infrastructure, automate billing, and give their customers better insight into their resource consumption.

10. Smart security

Over the last few years, consumers and businesses have seen a surge of demand for smart security cameras. Footage from retail security systems regularly floods social media. This access to remote video monitoring is made possible by IoT. Whether the cameras are always on or motion activated, connectivity enables them to send alerts to an end user via text, email, or mobile app. From there, they can access the footage on demand.

Is your IoT use case ready for cellular connectivity?

emnify is a leading cellular IoT connectivity provider. Our global IoT SIMs let your devices connect to more than 540 networks in over 195 countries. With our intuitive connectivity platform, you can manage your deployments from a single portal and monitor every device at once through our convenient dashboard.

Want to see what emnify can do for your IoT application?

Start a free trial or talk to an expert.

Article by: Emnify",cutting-edge parcel delivery startups
10 New Wholesale Trade Companies,https://www.startus-insights.com/innovators-guide/new-wholesale-trade-companies/,,"The retail and wholesale industry is witnessing a remarkable transformation with emerging technologies. Discover the innovation wave in the wholesale trade sector, featuring a list of 10 wholesale trade companies. These new wholesale companies are shaping the industry with immersive personalized shopping experiences, efficient supply chain operations, AI-powered assistance, and enhanced inventory management systems.

This article will delve into:

Key Takeaways

Drawing insights from the Big Data & AI-powered StartUs Insights Discovery Platform that provides data on over 4.7+ million emerging companies globally, we explore the evolving landscape of the wholesale trade industry. This sector is marked by key trends and a substantial workforce, shaping its future. Here are some key insights at a glance:

Wholesale Trade Trends : The industry is evolving with pivotal trends such as the rise of wholesale e-commerce, inventory optimization, artificial intelligence, immersive technologies, and the Internet of Things (IoT). These innovations are shaping the industry towards optimized supply chain operations, efficient customer relationships, minimized wastage, and accurate monitoring of stock levels.

: The industry is evolving with pivotal trends such as the rise of wholesale e-commerce, inventory optimization, artificial intelligence, immersive technologies, and the Internet of Things (IoT). These innovations are shaping the industry towards optimized supply chain operations, efficient customer relationships, minimized wastage, and accurate monitoring of stock levels. Wholesale Trade Industry Stats : The global wholesale trade sector comprises over 15K+ companies and has seen the emergence of 2.7K+ companies founded in the past 5 years, with an average founding year being 2020. During the same period, the average funding has been 15.6 million, underscoring active economic activity within the sector. Moreover, the industry records an average workforce size of 30.2 employees in the past 5 years.

: The global wholesale trade sector comprises over 15K+ companies and has seen the emergence of 2.7K+ companies founded in the past 5 years, with an average founding year being 2020. During the same period, the average funding has been 15.6 million, underscoring active economic activity within the sector. Moreover, the industry records an average workforce size of 30.2 employees in the past 5 years. 10 New Wholesale Companies to Watch : Chamak – Wholesale Commerce Platform Foundation – Cloud-based B2B Commerce OrderCast – Real-time Inventory Management Vero Technologies – Wholesale Finance Software Edistera – Cloud-based Wholesale Commerce Prewarp – Automated Wholesale Reporting Orderit – Order Management Platform Continuum.ai – RMA Automation Platform MotorPlatform – Wholesale Auction Platform Ordergami – Wholesale Inventory Software

:

Latest Trends Reshaping Wholesale Trade

Wholesale E-Commerce

Wholesale e-commerce is evolving beyond B2B, creating a more dynamic and inclusive trading landscape. Online platforms connect distributors directly with retailers, streamlining orders, boosting transparency, and expanding reach. Businesses are embracing the efficiency and agility of digital wholesale through e-commerce platforms, AI-powered matchmaking, and omnichannel integration.

Inventory Optimization

Businesses are leveraging smart technologies like machine learning and predictive analytics to forecast demand, automate ordering, and minimize stockouts. New companies are providing solutions for real-time inventory tracking, AI-powered recommendations, and dynamic pricing strategies, enabling brands to maximize profits, reduce waste, and enhance customer experience.

Artificial Intelligence

From demand forecasting and automated purchasing to personalized recommendations and fraud detection, AI is streamlining operations and unlocking valuable insights. Companies offer AI-powered chatbots to handle customer inquiries, machine learning algorithms to identify hidden trends, and dynamic pricing tools to optimize profit margins.

Immersive Technologies

Immersive technologies like virtual reality (VR) and augmented reality (AR) allow wholesalers to showcase products in novel ways. New companies are developing 3D product models, interactive experiences, and remote collaboration tools that revolutionize how businesses connect and make purchasing decisions. These technologies offer increased engagement and improved product understanding, leading to a more efficient wholesale trade ecosystem.

Internet of Things

IoT is creating a web of connected devices that generate valuable data, from smart warehouses automatically tracking inventory to sensors monitoring product quality in real time. New companies provide solutions such as predictive maintenance, optimized logistics routes, and automated replenishment. The IoT is ushering in a new era of increased efficiency, reduced costs, and improved visibility across the wholesale supply chain.

Also read: Top 10 eCommerce Trends

Meet 10 Out of 15K+ Emerging Wholesale Trade Companies

In this section, we spotlight 10 emerging wholesale trade industry companies that are leading innovative operating solutions. These companies are rapidly boosting efficiency by facilitating operations, predicting optimal inventory levels, and offering valuable insights into patterns and preferences to enable wholesalers to tailor their offerings accordingly. By pioneering advanced technologies such as AI, ML, and IoT, these companies are setting new standards for the wholesale industry.

Note on Signal Strength

One of the unique metrics we feature for each company is Signal Strength, a proprietary data point generated by our Discovery Platform. Signal Strength gauges the extent to which a company’s influence has permeated the global ecosystem of startups, scaleups, and emerging companies. This proprietary metric serves as a valuable guidepost for understanding a company’s standing in the broader market landscape.

Founding Year : 2021

: 2021 Employee Range : 11-50

: 11-50 Location : Bangladesh

: Bangladesh Signal Strength : Strong

: Strong What they do: Chamak develops a wholesale commerce platform to streamline distribution operations, avoiding unnecessary verifications and lengthy procedures. It specializes in inventory sourcing, financing, and distribution. Chamak’s platform allows businesses to increase profitability, maximize savings, improve efficiency, and reach new markets.

Founding Year : 2022

: 2022 Employee Range : 11-50

: 11-50 Location : United States

: United States Signal Strength : Very Strong

: Very Strong What they do: Foundation offers a B2B commerce cloud to optimize wholesale operations and engage with valued customers. It features an order management system that automates tedious tasks like processing orders and updating inventory in real time. Further, it integrates with D2C commerce platforms, allowing brands to manage the entire sales ecosystem, inventory levels, and customer insights across all channels.

Founding Year : 2022

: 2022 Employee Range : 11-50

: 11-50 Location : United Kingdom

: United Kingdom Signal Strength : Very Strong

: Very Strong What they do: OrderCast utilizes advanced cloud solutions to simplify wholesale and accounting processes. It provides wholesalers with real-time visibility into inventory, streamlining the supply chain and satisfying customer demands. OrderCast thus empowers businesses to improve operational efficiency and modernize sales processes.

Founding Year : 2020

: 2020 Employee Range : 11-50

: 11-50 Location : United States

: United States Signal Strength : Very Strong

: Very Strong What they do: Vero Technologies provides wholesale finance software that allows financial institutions, wholesalers, and dealers to manage funding requests, collections, and portfolio management. It enables real-time analytics, advanced risk management, and a streamlined workflow, allowing businesses to secure funding faster and easier.

Founding Year : 2021

: 2021 Employee Range : 2-10

: 2-10 Location : India

: India Signal Strength : Very Strong

: Very Strong What they do: Edistera develops a cloud-based wholesale commerce platform that unifies sales, orders, and inventory across online stores, distributors, and sales reps. It offers a customizable B2B store app for wholesale customers to place orders anytime from any location. Moreover, the platform enables wholesalers and distributors to efficiently manage orders, inventory, and purchases across multiple warehouse locations and channels.

Founding Year : 2020

: 2020 Employee Range : 2-10

: 2-10 Location : United Kingdom

: United Kingdom Signal Strength : Very Strong

: Very Strong What they do: Prewarp offers wholesalers an AI-powered sellout reporting platform to automate data consolidation and streamline reporting. It ensures accurate forecasting and frees up time for wholesalers to focus on strategic decisions. Further, AI fixes and matches SKU codes automatically. The startup allows wholesalers to gain insights into customer buying habits, optimize product assortments and pricing, and make data-driven decisions to boost profitability.

Founding Year : 2020

: 2020 Employee Range : 2-10

: 2-10 Location : United Kingdom

: United Kingdom Signal Strength : Very Strong

: Very Strong What they do: Orderit makes a wholesale order management platform to automate back-office and manual operations. It leverages AI to convert email orders into integrated orders as well as automate invoicing and payment collection, eliminating manual data entry. The startup thus allows businesses to secure transactions, streamline ordering, increase productivity, and drive customer loyalty.

Founding Year : 2023

: 2023 Employee Range : 11-50

: 11-50 Location : United States

: United States Signal Strength : Medium

: Medium What they do: Continuum.ai develops automated returns software tailored for the wholesale, distribution, and manufacturing sectors. It provides real-time updates on return merchandise authorization (RMA) status, streamlining customer interactions. By automating RMA processing, the platform enhances operational efficiency and reduces manual entry time. Additionally, it offers real-time shipping cost calculations and labeling, ensuring accurate and cost-effective returns handling. This solution provides wholesalers instant access to detailed return status, condition, and location information.

Founding Year : 2020

: 2020 Employee Range : 11-50

: 11-50 Location : Australia

: Australia Signal Strength : Strong

: Strong What they do: MotorPlatform offers a vehicle valuation platform that provides a wholesale auction solution for the motor industry. It streamlines the tendering process by connecting businesses with a network of trusted buyers. Further, the platform generates AI-driven market reports and insights for better decision-making. The solution, in this way, optimizes transactions, eliminates pricing discrepancies, ensures fair deals, and boosts profits.

Founding Year : 2020

: 2020 Employee Range : 2-10

: 2-10 Location : United States

: United States Signal Strength : Very Strong

: Very Strong What they do: Ordergami provides a cloud-based wholesale inventory management system that increases inventory visibility and control. It automatically sets stock levels on a product to receive real-time notifications when running out and quickly identifies what’s missing from orders. The software further streamlines the product movement lifecycle, enabling wholesalers to gain full control over the entire business operations process from supplier to sale within the platform.

Tips to Quickly Find New Wholesale Trade Companies

Utilizing a SaaS platform like the Discovery Platform for identifying new wholesale trade companies provides significant benefits compared to traditional scouting methods:

Streamlined Efficiency: The Discovery Platform offers advanced tools that streamline the scouting process. It replaces your hours of conventional desk research, saving time and resources in identifying wholesale trade innovations.

The Discovery Platform offers advanced tools that streamline the scouting process. It replaces your hours of conventional desk research, saving time and resources in identifying wholesale trade innovations. Access to Real-time Insights: Gain a competitive edge with up-to-date information on the latest trends in the wholesale trade industry. The platform keeps you informed with near real-time updates on emerging wholesale trade companies and news, enabling you to make swift and informed decisions.

Gain a competitive edge with up-to-date information on the latest trends in the wholesale trade industry. The platform keeps you informed with near real-time updates on emerging wholesale trade companies and news, enabling you to make swift and informed decisions. Tailored Exploration: Customize your search to focus on specific niches within the wholesale trade sector, such as wholesale e-commerce, inventory optimization, or artificial intelligence. The platform’s diverse filtering options allow you to target your scouting efforts precisely, ensuring that you find the most relevant and groundbreaking companies in the field.

Ready to Explore All New Wholesale Trade Companies?

This overview highlights just a few wholesale trade solutions of all 2.7K new companies currently covered by the Discovery Platform. To explore them all, book a personalized demo or download one of our free Industry Innovation Reports for a quick overview.

Looking for all emerging wholesale trade companies? Your Name



Business Email



Company

true Get our free newsletter on technology and startups. Protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply. ✕

Explore all New Wholesale Trade Companies! Your Name



Business Email



Company

true Get our free newsletter on technology and startups. Protected by reCAPTCHA and the Google Privacy Policy and Terms of Service apply. ✕",supply chain efficiency startup program
10 North West startups pitch today to reach national final,https://businesscloud.co.uk/news/10-north-west-startups-pitch-today-to-reach-national-final/,17 часов назад,"Ten scaleup businesses from across the North West have been shortlisted from nearly 400 applications to pitch their businesses to a panel of industry experts in the search for the UK’s next big tech disruptor.

KPMG’s annual competition which showcases tech innovators from eight regions across the UK has been running since 2013, and uncovered outstanding tech from businesses including What3Words, Inovus Medical and HiiROC who went on to win the global final during Web Summit in 2022.

The businesses from the North West have been selected from almost 400 applications to pitch against each other to find one innovator who will represent the region at the UK finals in London in July.

Today these startups will pitch, with one crowned KPMG’s North West regional Tech Innovator in the UK winner: ABS (Morecombe), Drill Surgeries (Liverpool), LiNa Energy (Lancaster), Graphene Innovations Manchester, Rezzil (Manchester), Nanoplexus (Manchester), UrbanChain (Manchester), Zally (Manchester), Lemon (Manchester) and Grafmarine (Altrincham).

Chris Stott, office senior partner for KPMG in Manchester, said: “Our shortlisted businesses represent some of the best tech innovation in the country and it’s great to see these 10 fantastic local businesses in the running.

“They will be competing to represent our region in the UK final, so I wish them the best of luck in going all the way, hopefully following in the footsteps of St Helens-based Inovus Medical, who won last year’s national competition.

“The UK technology sector attracts investment from across the world and we have some incredible businesses right here on our doorstep who could be the next tech titan. Our aim with this competition is to uncover these businesses and shine a light on their technologies and how they are disrupting the market.

“We are looking forward to seeing the pitches from those shortlisted and meeting the founders who are hoping to be crowned as KPMG’s next Tech Innovator in the UK winner.”

Mark Lyons, investment director at Puma Private Equity, said: “I am very much looking forward to hearing the stories of the ten businesses that have made it to the shortlist and excited to meet the founders and their teams.

“Our winner needs to be able to tell the story of their business in a passionate way, but most importantly, they need to demonstrate how their technology is solving a problem and has the potential to grow into a successful business.”

The winners of each regional stage will then go on to the national final to be held in London in July. The overall winner will then go on to represent the UK at the global final, which takes place alongside Web Summit later in the year – where a panel of global judges will crown the 2024 KPMG Private Enterprise Global Tech Innovator.",logistics industry tech disruptors
